accumulation_rows,admissible,burst_lines,burst_symbol_rows,claimed_bound_bytes,column_twist,correctable_erasures,correctable_errors,mean_damaged_bytes,n_burst_positions,n_descriptions,n_units_placed,reason,rs_k,rs_nsym,scheme,survives_as_erasures,survives_as_errors,worst_damaged_bytes,worst_unit
64,True,24,13,-1,1,128,64,645.67,266,2,6,,127,128,block-64,False,False,871,5
64,True,32,17,-1,1,128,64,844.33,262,2,6,,127,128,block-64,False,False,1139,5
64,True,48,25,-1,1,128,64,1223.83,254,2,6,,127,128,block-64,False,False,1568,5
64,True,64,33,-1,1,128,64,1574.0,246,2,6,,127,128,block-64,False,False,1824,5
64,True,1,1,-1,1,128,64,49.67,278,4,6,,127,128,block-64,True,False,67,5
64,True,2,2,-1,1,128,64,99.33,277,4,6,,127,128,block-64,False,False,134,5
64,True,4,3,-1,1,128,64,149.0,276,4,6,,127,128,block-64,False,False,201,5
64,True,8,5,-1,1,128,64,248.33,274,4,6,,127,128,block-64,False,False,335,5
64,True,16,9,-1,1,128,64,447.0,270,4,6,,127,128,block-64,False,False,603,5
64,True,24,13,-1,1,128,64,645.67,266,4,6,,127,128,block-64,False,False,871,5
64,True,32,17,-1,1,128,64,844.33,262,4,6,,127,128,block-64,False,False,1139,5
64,True,48,25,-1,1,128,64,1223.83,254,4,6,,127,128,block-64,False,False,1568,5
64,True,64,33,-1,1,128,64,1574.0,246,4,6,,127,128,block-64,False,False,1824,5
278,True,1,1,-1,1,128,64,13.0,278,1,6,,127,128,block-278,True,True,13,0
278,True,2,2,-1,1,128,64,26.0,277,1,6,,127,128,block-278,True,True,26,0
278,True,4,3,-1,1,128,64,39.0,276,1,6,,127,128,block-278,True,True,39,0
278,True,8,5,-1,1,128,64,65.0,274,1,6,,127,128,block-278,True,False,65,0
278,True,16,9,-1,1,128,64,117.0,270,1,6,,127,128,block-278,True,False,117,0
278,True,24,13,-1,1,128,64,169.0,266,1,6,,127,128,block-278,False,False,169,0
278,True,32,17,-1,1,128,64,221.0,262,1,6,,127,128,block-278,False,False,221,0
278,True,48,25,-1,1,128,64,325.0,254,1,6,,127,128,block-278,False,False,325,0
278,True,64,33,-1,1,128,64,429.0,246,1,6,,127,128,block-278,False,False,429,0
278,True,1,1,-1,1,128,64,13.0,278,2,6,,127,128,block-278,True,True,13,0
278,True,2,2,-1,1,128,64,26.0,277,2,6,,127,128,block-278,True,True,26,0
278,True,4,3,-1,1,128,64,39.0,276,2,6,,127,128,block-278,True,True,39,0
278,True,8,5,-1,1,128,64,65.0,274,2,6,,127,128,block-278,True,False,65,0
278,True,16,9,-1,1,128,64,117.0,270,2,6,,127,128,block-278,True,False,117,0
278,True,24,13,-1,1,128,64,169.0,266,2,6,,127,128,block-278,False,False,169,0
278,True,32,17,-1,1,128,64,221.0,262,2,6,,127,128,block-278,False,False,221,0
278,True,48,25,-1,1,128,64,325.0,254,2,6,,127,128,block-278,False,False,325,0
278,True,64,33,-1,1,128,64,429.0,246,2,6,,127,128,block-278,False,False,429,0
278,True,1,1,-1,1,128,64,13.0,278,4,6,,127,128,block-278,True,True,13,0
278,True,2,2,-1,1,128,64,26.0,277,4,6,,127,128,block-278,True,True,26,0
278,True,4,3,-1,1,128,64,39.0,276,4,6,,127,128,block-278,True,True,39,0
278,True,8,5,-1,1,128,64,65.0,274,4,6,,127,128,block-278,True,False,65,0
278,True,16,9,-1,1,128,64,117.0,270,4,6,,127,128,block-278,True,False,117,0
278,True,24,13,-1,1,128,64,169.0,266,4,6,,127,128,block-278,False,False,169,0
278,True,32,17,-1,1,128,64,221.0,262,4,6,,127,128,block-278,False,False,221,0
278,True,48,25,-1,1,128,64,325.0,254,4,6,,127,128,block-278,False,False,325,0
278,True,64,33,-1,1,128,64,429.0,246,4,6,,127,128,block-278,False,False,429,0
278,True,1,1,-1,1,128,64,13.0,278,1,6,,127,128,diagonal-64,True,True,13,0
278,True,2,2,-1,1,128,64,26.0,277,1,6,,127,128,diagonal-64,True,True,26,0
278,True,4,3,-1,1,128,64,39.0,276,1,6,,127,128,diagonal-64,True,True,39,0
278,True,8,5,-1,1,128,64,65.0,274,1,6,,127,128,diagonal-64,True,False,65,0
278,True,16,9,-1,1,128,64,117.0,270,1,6,,127,128,diagonal-64,True,False,117,0
278,True,24,13,-1,1,128,64,169.0,266,1,6,,127,128,diagonal-64,False,False,169,0
278,True,32,17,-1,1,128,64,221.0,262,1,6,,127,128,diagonal-64,False,False,221,0
278,True,48,25,-1,1,128,64,325.0,254,1,6,,127,128,diagonal-64,False,False,325,0
278,True,64,33,-1,1,128,64,429.0,246,1,6,,127,128,diagonal-64,False,False,429,0
