accumulation_rows,admissible,coverage,key,label,n_frames,payload_efficiency,psnr_full,rasters_per_frame,reason,ssim_full,units_per_raster,virtual_latency_s
0,False,0.0,sh24_d2_dctq12_u640_n96_m4c8x2_block278,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq12_u640_n96_m4c8x2_bawp12,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq12_u640_n128_m4c8x2_block278,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq12_u640_n128_m4c8x2_bawp12,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq12_u896_n96_m4c8x2_block278,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq12_u896_n96_m4c8x2_bawp12,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq12_u896_n128_m4c8x2_block278,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq12_u896_n128_m4c8x2_bawp12,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u320_n96_m4c8x2_block278,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u320_n96_m4c8x2_bawp12,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u320_n128_m4c8x2_block278,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u320_n128_m4c8x2_bawp12,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u640_n96_m4c8x2_block278,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u640_n96_m4c8x2_bawp12,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u640_n128_m4c8x2_block278,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u640_n128_m4c8x2_bawp12,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u896_n96_m4c8x2_block278,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u896_n96_m4c8x2_bawp12,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u896_n128_m4c8x2_block278,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
0,False,0.0,sh24_d2_dctq18_u896_n128_m4c8x2_bawp12,tune,0,0.0,nan,0.0,"does not fit the shared budget: frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",nan,0,0.0
